cnpj;optante_simples;optante_simei
00000000467448;NÃO;NÃO
00000000589632;NÃO;NÃO
00028415000173;NÃO;NÃO
00275977000111;SIM;NÃO
00325276000492;NÃO;NÃO
00576704000298;NÃO;NÃO
00886828000199;NÃO;NÃO
00931489000115;SIM;NÃO
01026686000152;SIM;NÃO
01156464000154;NÃO;NÃO
01175596000123;NÃO;NÃO
01181518000131;NÃO;NÃO
01207843000126;NÃO;NÃO
01229308000176;SIM;NÃO
01259681000170;SIM;NÃO
01275777000121;NÃO;NÃO
01403356000139;NÃO;NÃO
01857567000141;NÃO;NÃO
01928798000107;NÃO;NÃO
01975079000139;NÃO;NÃO
02071685000192;SIM;NÃO
02130360000214;NÃO;NÃO
02217319000107;NÃO;NÃO
02308008000145;SIM;NÃO
02415583112107;NÃO;NÃO
02415583181184;NÃO;NÃO
02581911000185;NÃO;NÃO
02594424000157;NÃO;NÃO
02734022000100;SIM;NÃO
02800026000140;NÃO;NÃO
02833870000177;NÃO;NÃO
02932074000191;NÃO;NÃO
02950811000189;NÃO;NÃO
02957320000160;SIM;NÃO
02965468000146;NÃO;NÃO
02981429000132;NÃO;NÃO
03187787000130;SIM;NÃO
03234943000177;SIM;NÃO
03384155000167;SIM;NÃO
03398017000137;SIM;NÃO
03456351000108;SIM;NÃO
03456487000100;NÃO;NÃO
03501566000195;NÃO;NÃO
03621100000123;SIM;NÃO
03694937000100;NÃO;NÃO
03719755000139;SIM;NÃO
03752218000190;SIM;NÃO
03799098000187;SIM;NÃO
03919480000187;NÃO;NÃO
03942255000161;NÃO;NÃO
03946153000114;SIM;NÃO
03946325000150;NÃO;NÃO
04099894000170;NÃO;NÃO
04165359000170;NÃO;NÃO
04297060000179;SIM;NÃO
04299646000334;SIM;NÃO
04305070000109;SIM;NÃO
04417441000144;SIM;NÃO
04432889000137;SIM;NÃO
04478924000159;SIM;NÃO
04524057000302;NÃO;NÃO
04524628000147;SIM;NÃO
04670869000285;NÃO;NÃO
04778345000121;SIM;NÃO
05085404000149;SIM;NÃO
05087967000176;NÃO;NÃO
05145993000103;SIM;NÃO
05415942000154;SIM;NÃO
05477217000100;SIM;NÃO
05484278000103;NÃO;NÃO
05730396000308;NÃO;NÃO
05758386000119;SIM;NÃO
05808422000101;SIM;NÃO
05850655000253;NÃO INFORMADO;NÃO INFORMADO
05878397000132;NÃO;NÃO
05967024000138;NÃO;NÃO
05999689000123;SIM;NÃO
06021442000109;SIM;NÃO
06053779000432;NÃO;NÃO
06057223000171;NÃO;NÃO
06071001000103;NÃO;NÃO
06250045000109;NÃO;NÃO
06280175000186;SIM;NÃO
06284457000151;NÃO;NÃO
06318833000181;SIM;NÃO
06320130000198;SIM;NÃO
06536644000185;NÃO;NÃO
06696035000193;SIM;NÃO
07009992000167;NÃO;NÃO
07041490000113;SIM;NÃO
07050365000170;SIM;NÃO
07057779000120;NÃO;NÃO
07246673000175;NÃO;NÃO
07246943000148;NÃO;NÃO
07253086000103;SIM;NÃO
07315114000170;SIM;NÃO
07315999000298;NÃO;NÃO
07316419000104;NÃO;NÃO
07409047000152;SIM;NÃO
07464451000129;NÃO;NÃO
07465671000177;NÃO;NÃO
07491164000108;SIM;NÃO
07579933000124;NÃO;NÃO
07621126000394;NÃO INFORMADO;NÃO INFORMADO
07628528000159;NÃO;NÃO
07659215000168;NÃO;NÃO
07679140000187;NÃO;NÃO
07683886000407;NÃO INFORMADO;NÃO INFORMADO
07685979000128;NÃO;NÃO
07737463000180;SIM;NÃO
07749348000125;NÃO;NÃO
07751427000170;SIM;SIM
07871529000120;SIM;NÃO
07916392000182;NÃO;NÃO
07933222000297;NÃO INFORMADO;NÃO INFORMADO
07941675000184;SIM;NÃO
07953678017537;NÃO;NÃO
07957567001171;NÃO;NÃO
07963394000556;NÃO;NÃO
07993125000109;SIM;NÃO
08016712000372;NÃO;NÃO
08054198000106;NÃO;NÃO
08058149000133;SIM;NÃO
08070127000199;NÃO;NÃO
08108416000130;NÃO;NÃO
08170849000115;NÃO;NÃO
08221284000158;NÃO;NÃO
08244883001088;NÃO;NÃO
08292495000262;NÃO;NÃO
08343492000120;NÃO;NÃO
08373328000165;NÃO;NÃO
08380296000125;SIM;NÃO
08402943000152;NÃO;NÃO
08498758000103;NÃO;NÃO
08502656000114;NÃO;NÃO
08522523000100;NÃO;NÃO
08589233000183;NÃO;NÃO
08606815000120;NÃO;NÃO
08700864000128;NÃO;NÃO
08706573000147;NÃO;NÃO
08731116000102;SIM;NÃO
08866702000164;SIM;NÃO
