cd_acao_rdz;nm_empresa;setor_economico;subsetor;segmento;segmento_b3;cd_acao;cnpj
CSAN;COSAN;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;NM;CSAN3;50.746.577/0001-15
DMMO;DOMMO;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;;DMMO11, DMMO3;08.926.302/0001-05
ENAT;ENAUTA PART;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;NM;ENAT3;11.669.021/0001-10
RPMG;PET MANGUINH;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;;RPMG3;33.412.081/0001-96
PETR;PETROBRAS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;N2;PETR4, PETR3;33.000.167/0001-01
BRDT;PETROBRAS BR;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;NM;BRDT3;34.274.233/0001-02
PRIO;PETRORIO;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;NM;PRIO3;10.629.105/0001-68
UGPA;ULTRAPAR;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;NM;UGPA3;33.256.439/0001-39
LUPA;LUPATECH;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EQUIPAMENTOS E SERVIÇOS;NM;LUPA3;89.463.822/0001-12
OSXB;OSX BRASIL;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EQUIPAMENTOS E SERVIÇOS;NM;OSXB3;09.112.685/0001-32
BRAP;BRADESPAR;MATERIAIS BÁSICOS;MINERAÇÃO;MINERAIS METÁLICOS;N1;BRAP4, BRAP3;03.847.461/0001-92
LTEL;LITEL;MATERIAIS BÁSICOS;MINERAÇÃO;MINERAIS METÁLICOS;MB;LTEL3B;00.743.065/0001-27
LTLA;LITELA;MATERIAIS BÁSICOS;MINERAÇÃO;MINERAIS METÁLICOS;MB;LTLA3B;05.495.546/0001-84
MMXM;MMX MINER;MATERIAIS BÁSICOS;MINERAÇÃO;MINERAIS METÁLICOS;NM;MMXM3;02.762.115/0001-49
VALE;VALE;MATERIAIS BÁSICOS;MINERAÇÃO;MINERAIS METÁLICOS;NM;VALE3;33.592.510/0001-54
FESA;FERBASA;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;SIDERURGIA;N1;FESA4, FESA3;15.141.799/0001-03
GGBR;GERDAU;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;SIDERURGIA;N1;GGBR3, GGBR4;33.611.500/0001-19
GOAU;GERDAU MET;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;SIDERURGIA;N1;GOAU3, GOAU4;92.690.783/0001-09
CSNA;SID NACIONAL;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;SIDERURGIA;;CSNA3;33.042.730/0001-04
USIM;USIMINAS;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;SIDERURGIA;N1;USIM6, USIM5, USIM3;60.894.730/0001-05
MGEL;MANGELS INDL;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;ARTEFATOS DE FERRO E AÇO;;MGEL3, MGEL4;61.065.298/0001-02
PATI;PANATLANTICA;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;ARTEFATOS DE FERRO E AÇO;;PATI3, PATI4;92.693.019/0001-89
TKNO;TEKNO;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;ARTEFATOS DE FERRO E AÇO;;TKNO3, TKNO4;33.467.572/0001-34
PMAM;PARANAPANEMA;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;ARTEFATOS DE COBRE;NM;PMAM3;60.398.369/0004-79
BRKM;BRASKEM;MATERIAIS BÁSICOS;QUÍMICOS;PETROQUÍMICOS;N1;BRKM6, BRKM5, BRKM3;42.150.391/0001-70
ELEK;ELEKEIROZ;MATERIAIS BÁSICOS;QUÍMICOS;PETROQUÍMICOS;;ELEK3, ELEK4;13.788.120/0001-47
GPCP;GPC PART;MATERIAIS BÁSICOS;QUÍMICOS;PETROQUÍMICOS;;GPCP3, GPCP4;02.193.750/0001-52
FHER;FER HERINGER;MATERIAIS BÁSICOS;QUÍMICOS;FERTILIZANTES E DEFENSIVOS;NM;FHER3;22.266.175/0001-88
NUTR;NUTRIPLANT;MATERIAIS BÁSICOS;QUÍMICOS;FERTILIZANTES E DEFENSIVOS;MA;;
CRPG;CRISTAL;MATERIAIS BÁSICOS;QUÍMICOS;QUÍMICOS DIVERSOS;;CRPG3, CRPG5, CRPG6;15.115.504/0001-24
UNIP;UNIPAR;MATERIAIS BÁSICOS;QUÍMICOS;QUÍMICOS DIVERSOS;;UNIP3, UNIP5, UNIP6;33.958.695/0001-78
DTEX;DURATEX;MATERIAIS BÁSICOS;MADEIRA E PAPEL;MADEIRA;NM;DTEX3;97.837.181/0001-47
EUCA;EUCATEX;MATERIAIS BÁSICOS;MADEIRA E PAPEL;MADEIRA;N1;EUCA4, EUCA3;56.643.018/0001-66
RANI;IRANI;MATERIAIS BÁSICOS;MADEIRA E PAPEL;PAPEL E CELULOSE;;RANI3, RANI4;92.791.243/0001-03
KLBN;KLABIN S/A;MATERIAIS BÁSICOS;MADEIRA E PAPEL;PAPEL E CELULOSE;N2;KLBN11, KLBN3, KLBN4;89.637.490/0001-45
MSPA;MELHOR SP;MATERIAIS BÁSICOS;MADEIRA E PAPEL;PAPEL E CELULOSE;;MSPA3, MSPA4;60.730.348/0001-66
STTZ;SANTHER;MATERIAIS BÁSICOS;MADEIRA E PAPEL;PAPEL E CELULOSE;;;
NEMO;SUZANO HOLD;MATERIAIS BÁSICOS;MADEIRA E PAPEL;PAPEL E CELULOSE;;NEMO3, NEMO5, NEMO6;60.651.809/0001-05
SUZB;SUZANO S.A.;MATERIAIS BÁSICOS;MADEIRA E PAPEL;PAPEL E CELULOSE;NM;SUZB3;16.404.287/0001-55
MTIG;METAL IGUACU;MATERIAIS BÁSICOS;EMBALAGENS;EMBALAGENS;;MTIG3, MTIG4;80.227.184/0001-66
SNSY;SANSUY;MATERIAIS BÁSICOS;MATERIAIS DIVERSOS;MATERIAIS DIVERSOS;;SNSY3, SNSY5, SNSY6;14.807.945/0001-24
ETER;ETERNIT;BENS INDUSTRIAIS;CONSTRUÇÃO E ENGENHARIA;PRODUTOS PARA CONSTRUÇÃO;NM;ETER3;61.092.037/0001-81
HAGA;HAGA S/A;BENS INDUSTRIAIS;CONSTRUÇÃO E ENGENHARIA;PRODUTOS PARA CONSTRUÇÃO;;HAGA3, HAGA4;30.540.991/0001-66
PTBL;PORTOBELLO;BENS INDUSTRIAIS;CONSTRUÇÃO E ENGENHARIA;PRODUTOS PARA CONSTRUÇÃO;NM;PTBL3;83.475.913/0001-91
AZEV;AZEVEDO;BENS INDUSTRIAIS;CONSTRUÇÃO E ENGENHARIA;CONSTRUÇÃO PESADA;;AZEV3, AZEV4;61.351.532/0001-68
SOND;SONDOTECNICA;BENS INDUSTRIAIS;CONSTRUÇÃO E ENGENHARIA;ENGENHARIA CONSULTIVA;;SOND3, SOND5, SOND6;33.386.210/0001-19
TCNO;TECNOSOLO;BENS INDUSTRIAIS;CONSTRUÇÃO E ENGENHARIA;ENGENHARIA CONSULTIVA;;TCNO3, TCNO4;33.111.246/0001-90
MILS;MILLS;BENS INDUSTRIAIS;CONSTRUÇÃO E ENGENHARIA;SERVIÇOS DIVERSOS;NM;MILS3;27.093.558/0001-15
EMBR;EMBRAER;BENS INDUSTRIAIS;MATERIAL DE TRANSPORTE;MATERIAL AERONÁUTICO E DE DEFESA;NM;EMBR3;07.689.002/0001-89
FRAS;FRAS-LE;BENS INDUSTRIAIS;MATERIAL DE TRANSPORTE;MATERIAL RODOVIÁRIO;N1;FRAS3;88.610.126/0001-29
POMO;MARCOPOLO;BENS INDUSTRIAIS;MATERIAL DE TRANSPORTE;MATERIAL RODOVIÁRIO;N2;POMO4, POMO3;88.611.835/0001-29
RAPT;RANDON PART;BENS INDUSTRIAIS;MATERIAL DE TRANSPORTE;MATERIAL RODOVIÁRIO;N1;RAPT4, RAPT3;89.086.144/0001-16
RCSL;RECRUSUL;BENS INDUSTRIAIS;MATERIAL DE TRANSPORTE;MATERIAL RODOVIÁRIO;;RCSL3, RCSL4;91.333.666/0001-17
RSUL;RIOSULENSE;BENS INDUSTRIAIS;MATERIAL DE TRANSPORTE;MATERIAL RODOVIÁRIO;;RSUL3, RSUL4;85.778.074/0001-06
TUPY;TUPY;BENS INDUSTRIAIS;MATERIAL DE TRANSPORTE;MATERIAL RODOVIÁRIO;NM;TUPY3;84.683.374/0001-49
MWET;WETZEL S/A;BENS INDUSTRIAIS;MATERIAL DE TRANSPORTE;MATERIAL RODOVIÁRIO;;MWET3, MWET4;84.683.671/0001-94
SHUL;SCHULZ;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MOTORES, COMPRESSORES E OUTROS;;SHUL4, SHUL3;84.693.183/0001-68
WEGE;WEG;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MOTORES, COMPRESSORES E OUTROS;NM;WEGE3;84.429.695/0001-11
EALT;ACO ALTONA;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. INDUSTRIAIS;;EALT3, EALT4;82.643.537/0001-34
BDLL;BARDELLA;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. INDUSTRIAIS;;BDLL4, BDLL3;60.851.615/0001-53
ROMI;INDS ROMI;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. INDUSTRIAIS;NM;ROMI3;56.720.428/0001-63
INEP;INEPAR;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. INDUSTRIAIS;;INEP4, INEP3;76.627.504/0001-06
KEPL;KEPLER WEBER;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. INDUSTRIAIS;;KEPL3;91.983.056/0001-69
FRIO;METALFRIO;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. INDUSTRIAIS;NM;FRIO3;04.821.041/0001-08
NORD;NORDON MET;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. INDUSTRIAIS;;NORD3;60.884.319/0001-59
PTCA;PRATICA;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. INDUSTRIAIS;M2;PTCA11, PTCA3;08.574.411/0001-00
MTSA;METISA;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. CONSTRUÇÃO E AGRÍCOLAS;;MTSA3, MTSA4;86.375.425/0001-09
STTR;STARA;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. CONSTRUÇÃO E AGRÍCOLAS;MA;;
TASA;TAURUS ARMAS;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;ARMAS E MUNIÇÕES;N2;TASA13, TASA15, TASA17, TASA3, TASA4;92.781.335/0001-02
AZUL;AZUL;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE AÉREO;N2;AZUL4;09.305.994/0001-29
GOLL;GOL;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE AÉREO;N2;GOLL11, GOLL4;06.164.253/0001-87
FRRN;ALL NORTE;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE FERROVIÁRIO;MB;FRRN3B, FRRN5B, FRRN6B;24.962.466/0001-36
GASC;ALL PAULISTA;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE FERROVIÁRIO;MB;;
RLOG;COSAN LOG;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE FERROVIÁRIO;NM;RLOG3;17.346.997/0001-39
VSPT;FER C ATLANT;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE FERROVIÁRIO;;VSPT3, VSPT4;00.924.429/0001-75
MRSA;MRS LOGIST;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE FERROVIÁRIO;MB;MRSA3B, MRSA5B, MRSA6B;01.417.222/0001-77
RAIL;RUMO S.A.;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE FERROVIÁRIO;NM;RAIL3;02.387.241/0001-60
LOGN;LOG-IN;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE HIDROVIÁRIO;NM;LOGN3;42.278.291/0001-24
LUXM;TREVISA;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE HIDROVIÁRIO;;LUXM3, LUXM4;92.660.570/0001-26
JSLG;JSL;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE RODOVIÁRIO;NM;JSLG3;52.548.435/0001-79
TGMA;TEGMA;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE RODOVIÁRIO;NM;TGMA3;02.351.144/0001-18
ANHB;AUTOBAN;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;;;
CCRO;CCR SA;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;NM;CCRO3;02.846.056/0001-97
RPTA;CONC RAPOSO;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;;;
CRTE;CONC RIO TER;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;MB;CRTE3B, CRTE5B;00.938.574/0001-05
ERDV;ECON;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;;;
ECNT;ECONORTE;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;;;
ASCP;ECOPISTAS;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;;;
ECOR;ECORODOVIAS;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;NM;ECOR3;04.149.454/0001-80
